"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL",product_group_id,product_group_name,category_id,category_name,subcategory_id,subcategory_name,part_type_id,part_type_name,subpart_id,suppart_name,short_description,long_description,turn_off_subcategories_products,category_image
123,http://transamericanautoparts.local/category/drive-shafts-drive-shaft-components/,"Drive Shafts &amp; Drive Shaft Components",drive-shafts-drive-shaft-components,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC515,,,,,,,,,
124,http://transamericanautoparts.local/category/oem-replacement-axle-parts/,"OEM Replacement Axle Parts",oem-replacement-axle-parts,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC514,,,,,,,,,
125,http://transamericanautoparts.local/category/complete-axles-third-members/,"Complete Axles &amp; Third Members",complete-axles-third-members,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-15226,,,,,,,,,
126,http://transamericanautoparts.local/category/transfer-cases-and-replacement-parts/,"Transfer Cases and Replacement Parts",transfer-cases-and-replacement-parts,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC116,,,,,,,,,
127,http://transamericanautoparts.local/category/transmission-transfer-case-adapters/,"Transmission &amp; Transfer Case Adapters",transmission-transfer-case-adapters,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",cat1120135,,,,,,,,,
128,http://transamericanautoparts.local/category/manual-transmissions-parts/,"Manual Transmissions Parts",manual-transmissions-parts,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC239,,,,,,,,,
129,http://transamericanautoparts.local/category/shifters-shifter-components/,"Shifters &amp; Shifter Components",shifters-shifter-components,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC513,,,,,,,,,
130,http://transamericanautoparts.local/category/clutch-bellhousing-components/,"Clutch &amp; Bellhousing Components",clutch-bellhousing-components,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC511,,,,,,,,,
131,http://transamericanautoparts.local/category/automatic-transmissions/,"Automatic Transmissions",automatic-transmissions,,314,"Drivetrain &amp; Differential",drivetrain-differential,0,,,,4wp-us-C12,"Drivetrain & Differential",4wp-us-SC381,,,,,,,,,
132,http://transamericanautoparts.local/category/body-kits-accessories/,"Body Kits &amp; Accessories",body-kits-accessories,,315,"Exterior Parts",exterior-parts,0,,,,4wp-us-S3,"Exterior Parts",4wp-us-SC21,,,,,,,,,
133,http://transamericanautoparts.local/category/mirrors/,Mirrors,mirrors,,315,"Exterior Parts",exterior-parts,0,,,,4wp-us-S3,"Exterior Parts",4wp-us-SC465,,,,,,,,,
134,http://transamericanautoparts.local/category/racks/,Racks,racks,,315,"Exterior Parts",exterior-parts,0,,,,4wp-us-S3,"Exterior Parts",4wp-us-SC82,,,,,,,,,
135,http://transamericanautoparts.local/category/grilles/,Grilles,grilles,,315,"Exterior Parts",exterior-parts,0,,,,4wp-us-S3,"Exterior Parts",4wp-us-1384,,,,,,,,,
136,http://transamericanautoparts.local/category/nameplates-emblems-decals/,"Nameplates, Emblems &amp; Decals",nameplates-emblems-decals,,315,"Exterior Parts",exterior-parts,0,,,,4wp-us-S3,"Exterior Parts",4wp-us-SC423,,,,,,,,,
